-84.897992,10.545036,Nuevo Arenal de Tilarán ,0
-85.253902,09.994512,Carmona de Nandayure ,0
-85.257259,10.037704,Santa Rita de Nandayure ,0
-85.352344,09.998747,Zapotal de Nandayure ,0
-85.234584,10.027878,San Pablo de Nandayure ,0
-85.281566,09.902086,Porvenir de Nandayure ,0
-85.335399,09.877335,Bejuco de Nandayure ,0
-85.632171,11.07281,La Cruz Centro ,0
-85.296268,11.09378,Santa Cecilia de La Cruz ,0
-85.549549,11.08099,La Garita de La Cruz ,0
-85.684764,10.940477,Santa Elena de La Cruz ,0
-85.421794,10.053438,Hojancha Centro ,0
-85.479297,09.867166,Puerto Carrillo de Hojancha ,0
-85.364582,10.021247,Huacas de Hojancha ,0
-84.21367,10.016788,Alajuela Centro ,0
-84.242223,10.012169,San José de Alajuela ,0
-84.170299,10.085425,Carrizal de Alajuela ,0
-84.221302,09.997072,San Antonio de Alajuela ,0
-84.256015,09.964107,Guácima de Alajuela ,0
-84.19597,10.090405,San Isidro de Alajuela ,0
-84.216449,10.074354,Sabanilla de Alajuela ,0
-84.52819,10.08952,San Rafael de Alajuela ,0
-84.193723,10.001295,Río Segundo de Alajuela ,0
-84.188457,10.02292,Desamparados de Alajuela ,0
-84.318759,09.959764,Turrúcares de Alajuela ,0
-84.240634,10.037203,Tambor de Alajuela ,0
-84.320323,09.992021,Garita de Alajuela ,0
-84.182437,10.314902,Sarapiquí de Alajuela ,0
-84.467182,10.085394,San Ramón Centro ,0
-84.486042,10.064606,Santiago de San Ramón ,0
-84.465488,10.107233,San Juan de San Ramón ,0
-84.535297,10.139972,Piedades Norte de San Ramón ,0
-84.533748,10.115399,Piedades Sur de San Ramón ,0
-84.475082,10.031357,San Rafael de San Ramón ,0
-84.449451,10.083344,San Isidro de San Ramón ,0
-84.520991,10.167936,Angeles de San Ramón ,0
-84.502657,10.089320,Alfaro de San Ramón ,0
-84.449832,10.151676,Volio de San Ramón ,0
-84.441486,10.121241,Concepción de San Ramón ,0
-84.654026,10.159084,Zapotal de San Ramón ,0
-84.665039,10.364109,Peñas Blancas de San Ramón ,0
-84.548576,10.334038,Valle Azul de San Lorenzo de San Ramón ,0
-84.311168,10.06804,Grecia Centro ,0
-84.272815,10.114675,San Isidro de Grecia ,0
-84.274848,10.096369,San José de Grecia ,0
-84.291522,10.028672,Tacares de Grecia ,0
-84.302223,10.094876,San Roque de Grecia ,0
-84.316143,10.046711,Puente de Piedra de Grecia ,0
-84.314464,10.097145,Bolívar de Grecia ,0
-84.522602,09.936611,San Mateo Centro ,0
-84.469379,09.959643,Desmonte de San Mateo ,0
-84.590595,09.958385,Jesús María de San Mateo ,0
-84.612255,09.944351,Labrador de San Mateo ,0
-84.378238,09.977192,Atenas Centro ,0
-84.422421,09.974984,Jes\366s de Atenas ,0
-84.402378,09.988569,Mercedes de Atenas ,0
-84.419916,09.99191,San Isidro de Atenas ,0
-84.366745,09.953887,Concepción de Atenas ,0
-84.404931,10.010910,San José de Atenas ,0
-84.374286,10.010876,Santa Eulalia de Atenas ,0
-84.435451,9.935302,Escobal de Atenas ,0
-84.383846,10.099856,Naranjo Centro ,1
-84.396457,10.073457,San Miguel de Naranjo ,0
-84.405212,10.150484,San José de Naranjo ,0
-84.367065,10.118656,Cirrí Sur de Naranjo ,0
-84.358349,10.124188,San Jerónimo de Naranjo ,0
-84.396282,10.113605,San Juan de Naranjo ,0
-84.377399,10.044154,El Rosario de Naranjo ,0
-84.426184,10.097000,Palmitos de Naranjo ,0
-84.432659,10.051501,Palmares Centro ,0
-84.428073,10.041259,Zaragoza de Palmares ,0
-84.435207,10.068326,Buenos Aires de Palmares ,0
-84.444004,10.024921,Santiago de Palmares ,0
-84.422939,10.030351,Candelaria de Palmares ,0
-84.422542,10.056698,Esquipulas de Palmaeres ,0
-84.447291,10.053089,La Granja de Palmares ,0
-84.244601,10.076294,San Pedro de Poás ,0
-84.243808,10.099355,San Juan de Poás ,0
-84.258191,10.089521,San Rafael de Poás ,0
-84.269779,10.032497,Carrillos de Poás ,0
-84.215496,10.113528,Sabana Redonda de Poás ,0
-84.522254,09.912131,Orotina Centro ,0
-84.541547,09.916538,El Mataste de Orotina ,0
-84.494335,09.919979,Hacienda Vieja de Orotina ,0
-84.556163,09.900911,Coyolar de Orotina ,0
-84.598827,09.900122,La Ceiba de Orotina ,0
-84.431148,10.323053,Quesada de San Carlos ,1
-84.475139,10.360942,Florencia de San Carlos ,0
-84.460369,10.276133,Buenavista de San Carlos ,0
-84.340694,10.376034,Aguas Zarcas de San Carlos ,0
-84.274041,10.354732,Venecia de San Carlos ,0
-84.273128,10.453241,Pital de San Carlos ,0
-84.644824,10.471522,La Fortuna de San Carlos ,0
-84.581295,10.409752,La Tigra de San Carlos ,0
-84.382587,10.420739,La Palmera de San Carlos ,0
-84.744686,10.556144,Venado de San Carlos ,0
-84.478581,10.530978,Cutris de San Carlos ,0
-84.649532,10.552043,Monterrey de San Carlos ,0
-84.527294,10.623728,Pocosol de San Carlos ,0
-84.391864,10.184541,Zarcero de Zarcero ,0
-84.400844,10.209672,Laguna de Zarcero ,0
-84.402199,10.218010,Tapesco de Zarcero ,0
-84.410203,10.182766,Guadalupe de Zarcero ,0
-84.377906,10.209937,Palmira de Zarcero ,0
-84.418819,10.225578,Zapote de Zarcero ,0
-84.402263,10.218403,Brisas de Zarcero ,0
-84.321239,10.125638,Sarchí Norte de Sarchí ,0
-84.339721,10.081369,Sarchí Sur de Sarchí ,0
-84.297847,10.215248,Toro Amarillo de Sarchí ,0
-84.328708,10.111489,San Pedro de Sarchí ,0
-84.349376,10.107147,Rodríguez de Sarchí ,0
-85.017551,10.903426,Upala Centro ,1
-85.175586,10.813065,Aguas Claras de Upala ,0
-85.136451,10.951458,San José de Upala ,0
